Date : 2024-03-04 23:29:16
Directory : /home/eden/ProjectRepo/my_ros
Total : 76 files,  1479 codes, 187 comments, 246 blanks, all 1912 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /home/eden/ProjectsRepo/my_ros/src/interrupts.rs                                                 | Rust                 |       -106 |        -25 |        -24 |       -155 |
| /home/eden/ProjectsRepo/my_ros/src/lib.rs                                                        | Rust                 |        -77 |         -7 |        -11 |        -95 |
| /home/eden/ProjectsRepo/my_ros/src/main.rs                                                       | Rust                 |        -36 |         -2 |        -11 |        -49 |
| /home/eden/ProjectsRepo/my_ros/src/memory.rs                                                     | Rust                 |        -94 |        -31 |        -22 |       -147 |
| /home/eden/ProjectsRepo/my_ros/src/prelude.rs                                                    | Rust                 |          0 |          0 |         -2 |         -2 |
| /home/eden/ProjectsRepo/my_ros/src/serial.rs                                                     | Rust                 |        -33 |         -3 |         -6 |        -42 |
| /home/eden/ProjectsRepo/my_ros/src/task/executor.rs                                              | Rust                 |        -97 |         -5 |        -16 |       -118 |
| /home/eden/ProjectsRepo/my_ros/src/task/keyboard.rs                                              | Rust                 |        -83 |         -4 |        -12 |        -99 |
| /home/eden/ProjectsRepo/my_ros/src/task/mod.rs                                                   | Rust                 |        -51 |          0 |        -13 |        -64 |
| /home/eden/ProjectsRepo/my_ros/src/task/simple_executor.rs                                       | Rust                 |        -44 |          0 |         -8 |        -52 |
| /home/eden/ProjectsRepo/my_ros/src/test_framework.rs                                             | Rust                 |        -14 |          0 |         -3 |        -17 |
| /home/eden/ProjectsRepo/my_ros/src/vga_buffer.rs                                                 | Rust                 |       -258 |        -21 |        -41 |       -320 |
| /home/eden/ProjectsRepo/my_ros/tests/heap_allocation.rs                                          | Rust                 |        -62 |         -1 |        -11 |        -74 |
| /home/eden/ProjectsRepo/my_ros/tests/should_panic.rs                                             | Rust                 |        -29 |          0 |         -6 |        -35 |
| /home/eden/ProjectsRepo/my_ros/tests/stack_overflow.rs                                           | Rust                 |        -51 |         -3 |        -12 |        -66 |
| Total                                                                                            |                      |      1,479 |        187 |        246 |      1,912 |
+--------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
